# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
a a 	啊啊	c=1 d=1 t=8
a bu 	阿布	c=0 d=0.1 t=1413
a fu 	阿福	c=3 d=2.95556 t=120
a ji 	阿吉	c=0 d=0.1 t=14041
a li 	阿里	c=1 d=1 t=7749
a li ba ba 	阿里巴巴	c=1 d=1 t=6906
a li yun 	阿里雲	c=11 d=1.00024 t=10642
a qiang 	阿強	c=3 d=1.00058 t=12961
a san da sa dan 	啊三大撒旦	c=2 d=1 t=12955
a san da san da sa dan 	啊三大三大撒旦	c=1 d=1 t=20
a si dun 	阿斯頓	c=15 d=1 t=14230
a si dun sa 	阿斯頓撒	c=1 d=1 t=22
a si lan 	阿斯蘭	c=0 d=0.1 t=13
ai 	唉	c=4 d=1 t=14232
ai 	愛	c=3 d=1 t=14233
ai 	艾	c=5 d=1.00015 t=14231
ai dao 	哀悼	c=1 d=1 t=4164
ai ni 	愛你	c=8 d=1.02351 t=1168
ai pang 	矮胖	c=1 d=1 t=7935
ai qi yi 	愛奇藝	c=2 d=1.00238 t=4083
ai shang 	愛上	c=4 d=1.08634 t=2167
ai shang da an su da la kai shi duan jue lai wang ke ji leng ku wu qing er ji leng kong qi wei er ji 	愛上答案蘇達拉開始斷絕來往科技冷酷無情耳機冷空氣威爾基	c=-1 d=0 t=9
ai si ku duo 	埃斯庫多	c=0 d=0.1 t=9
ai ya 	哎呀	c=1 d=0.15234 t=10963
ai ya wo 	哎呀我	c=1 d=1 t=10964
ai you 	哎呦	c=1 d=1 t=8556
an 	俺	c=2 d=1 t=11402
an 	按	c=6 d=1.87372 t=10080
an fang 	安放	c=1 d=1 t=4764
an jian 	按鍵	c=3 d=1 t=10095
an lei bie 	按類別	c=1 d=1 t=5454
an mo 	按摩	c=4 d=1.95123 t=9747
an niu 	按鈕	c=1 d=1 t=4911
an quan 	安全	c=8 d=1 t=12536
an quan bi ji 	安全筆記	c=3 d=1.00315 t=1706
an quan dian 	安全點	c=1 d=1 t=3905
an quan lou dong 	安全漏洞	c=1 d=1 t=5778
an quan shi gu 	安全事故	c=1 d=1 t=379
an sha an 	暗殺案	c=0 d=0.1 t=4
an sha an shi 	暗殺案是	c=1 d=1 t=5
an shi 	暗示	c=1 d=1 t=11537
an shi dao jiao 	按時到校	c=1 d=1 t=5552
an zhe 	按着	c=2 d=1 t=7470
an zhuang 	安裝	c=20 d=1.59004 t=14488
an zhuang jiao cheng 	安裝教程	c=1 d=1 t=8534
an zhuang wan 	安裝完	c=1 d=1 t=4173
an zhuo 	安卓	c=2 d=1.9802 t=1339
